Criminal Offenses - On campus,,,,,,,,,,,,,,
Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Sex offenses - Non-forcible,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2010,110565,California State University-Fullerton,1,Main Campus,35590,0,0,2,0,1,11,10,10,0
2010,110565,California State University-Fullerton,3,Zzyzx,35590,0,0,0,0,0,0,0,0,0
2010,110565,California State University-Fullerton,4,Santa Ana Central Arts,35590,0,0,0,0,0,0,0,0,0
2010,110565,California State University-Fullerton,5,Irvine Campus,35590,0,0,0,0,0,0,0,0,0
2010,110583,California State University-Long Beach,1,Main Campus,33416,0,0,2,0,1,2,14,10,1
2010,110608,California State University-Northridge,1,California State University- Northridge,35272,0,0,9,0,4,1,47,11,1
2010,122409,San Diego State University,1,Main Campus,29187,0,0,11,0,3,8,66,31,5
2010,122755,San Jose State University,1,Main Campus,29076,0,0,2,0,6,2,36,16,3
2010,122755,San Jose State University,2,Moss Landing Marine Laboratory,29076,0,0,0,0,0,0,0,0,0
2010,110635,University of California-Berkeley,1,Main Campus,35833,0,0,6,0,14,8,63,13,9
2010,110644,University of California-Davis,1,Main Campus,31392,0,0,14,0,1,4,71,9,2
2010,110644,University of California-Davis,2,UC Davis Medical Center,31392,0,0,5,0,1,2,4,2,0
2010,110662,University of California-Los Angeles,1,UCLA,38157,0,0,21,1,2,2,125,14,2
2011,110565,California State University-Fullerton,1,Main Campus,36156,0,0,0,0,1,7,5,14,0
2011,110565,California State University-Fullerton,3,Zzyzx,36156,0,0,0,0,0,0,0,0,0
2011,110565,California State University-Fullerton,4,Santa Ana Central Arts,36156,0,0,0,0,0,0,1,0,0
2011,110565,California State University-Fullerton,5,Irvine Campus,36156,0,0,0,0,0,0,0,0,0
2011,110583,California State University-Long Beach,1,Main Campus,34870,0,0,3,0,3,1,24,5,0
2011,110608,California State University-Northridge,1,California State University- Northridge,36911,0,0,1,0,5,6,32,15,0
2011,122409,San Diego State University,1,Main Campus,30541,0,0,6,0,2,4,42,39,0
2011,122755,San Jose State University,1,Main Campus,30236,2,0,3,0,2,13,24,13,4
2011,122755,San Jose State University,2,Moss Landing Marine Laboratory,30236,0,0,0,0,0,0,0,0,0
2011,110635,University of California-Berkeley,1,Main Campus,36137,0,0,30,1,9,7,40,14,6
2011,110644,University of California-Davis,1,Main Campus,31732,0,0,22,0,4,1,79,8,1
2011,110644,University of California-Davis,2,UC Davis Medical Center,31732,0,0,2,0,1,3,7,5,0
2011,110662,University of California-Los Angeles,1,UCLA,39271,0,0,8,0,2,4,118,7,0
2012,110565,California State University-Fullerton,1,Main Campus,37677,0,0,0,0,1,5,8,15,0
2012,110565,California State University-Fullerton,3,Zzyzx,37677,0,0,0,0,0,0,0,0,0
2012,110565,California State University-Fullerton,4,Santa Ana Central Arts,37677,0,0,0,0,0,0,1,0,0
2012,110565,California State University-Fullerton,5,Irvine Campus,37677,0,0,0,0,0,0,0,0,0
2012,110583,California State University-Long Beach,1,Main Campus,36279,0,0,1,1,0,1,23,8,1
2012,110608,California State University-Northridge,1,California State University- Northridge,36164,0,0,7,0,6,3,23,11,2
2012,122409,San Diego State University,1,Main Campus,30843,0,0,12,0,11,6,45,8,0
2012,122755,San Jose State University,1,Main Campus,30448,0,0,3,0,9,6,29,9,1
2012,122755,San Jose State University,2,Moss Landing Marine Laboratory,30448,0,0,0,0,0,0,0,0,0
2012,110635,University of California-Berkeley,1,Main Campus,35893,0,0,13,1,18,4,69,9,3
2012,110644,University of California-Davis,1,Main Campus,32354,0,0,15,0,1,5,45,5,5
2012,110644,University of California-Davis,2,UC Davis Medical Center,32354,0,0,2,0,2,3,6,8,0
2012,110662,University of California-Los Angeles,1,UCLA,39945,0,0,15,0,5,1,76,6,1
2013,110565,California State University-Fullerton,1,Main Campus,38325,0,0,4,0,0,1,2,9,0
2013,110565,California State University-Fullerton,3,Zzyzx,38325,0,0,0,0,0,0,0,0,0
2013,110565,California State University-Fullerton,4,Santa Ana Central Arts,38325,0,0,0,0,0,0,0,0,0
2013,110565,California State University-Fullerton,5,Irvine Campus,38325,0,0,0,0,0,0,0,0,0
2013,110565,California State University-Fullerton,6,Garden Grove Campus,38325,0,0,0,0,0,0,0,0,0
2013,110583,California State University-Long Beach,1,Main Campus,35586,0,0,3,0,0,2,28,23,0
2013,110608,California State University-Northridge,1,California State University- Northridge,38310,0,0,6,0,1,3,29,11,2
2013,122409,San Diego State University,1,Main Campus,31899,0,0,6,0,3,3,47,20,1
2013,122755,San Jose State University,1,Main Campus,31278,0,0,0,0,5,4,14,6,1
2013,122755,San Jose State University,2,Moss Landing Marine Laboratory,31278,0,0,0,0,0,0,0,0,0
2013,110635,University of California-Berkeley,1,Main Campus,36198,1,0,13,0,16,14,56,11,3
2013,110644,University of California-Davis,1,Main Campus,33307,0,0,14,0,2,6,40,4,2
2013,110644,University of California-Davis,2,UC Davis Medical Center,33307,0,0,3,0,0,0,4,2,0
2013,110662,University of California-Los Angeles,1,UCLA,40795,0,0,33,0,2,7,75,11,1