Disciplinary Actions - On campus,,,,,,,,
Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2010,110565,California State University-Fullerton,1,Main Campus,35590,0,0,141
2010,110565,California State University-Fullerton,3,Zzyzx,35590,0,0,0
2010,110565,California State University-Fullerton,4,Santa Ana Central Arts,35590,0,0,0
2010,110565,California State University-Fullerton,5,Irvine Campus,35590,0,0,0
2010,110583,California State University-Long Beach,1,Main Campus,33416,0,37,223
2010,110608,California State University-Northridge,1,California State University- Northridge,35272,2,86,118
2010,122409,San Diego State University,1,Main Campus,29187,5,29,211
2010,122755,San Jose State University,1,Main Campus,29076,2,3,1
2010,122755,San Jose State University,2,Moss Landing Marine Laboratory,29076,0,0,0
2010,110635,University of California-Berkeley,1,Main Campus,35833,0,125,610
2010,110644,University of California-Davis,1,Main Campus,31392,0,87,202
2010,110644,University of California-Davis,2,UC Davis Medical Center,31392,0,0,0
2010,110662,University of California-Los Angeles,1,UCLA,38157,4,122,681
2011,110565,California State University-Fullerton,1,Main Campus,36156,0,122,256
2011,110565,California State University-Fullerton,3,Zzyzx,36156,0,0,0
2011,110565,California State University-Fullerton,4,Santa Ana Central Arts,36156,0,0,0
2011,110565,California State University-Fullerton,5,Irvine Campus,36156,0,0,0
2011,110583,California State University-Long Beach,1,Main Campus,34870,0,123,202
2011,110608,California State University-Northridge,1,California State University- Northridge,36911,3,107,297
2011,122409,San Diego State University,1,Main Campus,30541,7,58,289
2011,122755,San Jose State University,1,Main Campus,30236,7,130,56
2011,122755,San Jose State University,2,Moss Landing Marine Laboratory,30236,0,0,0
2011,110635,University of California-Berkeley,1,Main Campus,36137,3,104,289
2011,110644,University of California-Davis,1,Main Campus,31732,1,67,256
2011,110644,University of California-Davis,2,UC Davis Medical Center,31732,0,0,0
2011,110662,University of California-Los Angeles,1,UCLA,39271,4,191,645
2012,110565,California State University-Fullerton,1,Main Campus,37677,0,110,218
2012,110565,California State University-Fullerton,3,Zzyzx,37677,0,0,0
2012,110565,California State University-Fullerton,4,Santa Ana Central Arts,37677,0,0,0
2012,110565,California State University-Fullerton,5,Irvine Campus,37677,0,0,0
2012,110583,California State University-Long Beach,1,Main Campus,36279,3,29,139
2012,110608,California State University-Northridge,1,California State University- Northridge,36164,3,131,192
2012,122409,San Diego State University,1,Main Campus,30843,13,91,173
2012,122755,San Jose State University,1,Main Campus,30448,17,197,43
2012,122755,San Jose State University,2,Moss Landing Marine Laboratory,30448,0,0,0
2012,110635,University of California-Berkeley,1,Main Campus,35893,1,107,320
2012,110644,University of California-Davis,1,Main Campus,32354,0,27,9
2012,110644,University of California-Davis,2,UC Davis Medical Center,32354,0,0,0
2012,110662,University of California-Los Angeles,1,UCLA,39945,4,90,585
2013,110565,California State University-Fullerton,1,Main Campus,38325,5,43,59
2013,110565,California State University-Fullerton,3,Zzyzx,38325,0,0,0
2013,110565,California State University-Fullerton,4,Santa Ana Central Arts,38325,0,0,0
2013,110565,California State University-Fullerton,5,Irvine Campus,38325,0,0,0
2013,110565,California State University-Fullerton,6,Garden Grove Campus,38325,0,0,0
2013,110583,California State University-Long Beach,1,Main Campus,35586,3,65,154
2013,110608,California State University-Northridge,1,California State University- Northridge,38310,0,210,287
2013,122409,San Diego State University,1,Main Campus,31899,16,72,364
2013,122755,San Jose State University,1,Main Campus,31278,13,131,300
2013,122755,San Jose State University,2,Moss Landing Marine Laboratory,31278,0,0,0
2013,110635,University of California-Berkeley,1,Main Campus,36198,1,43,16
2013,110644,University of California-Davis,1,Main Campus,33307,2,19,1
2013,110644,University of California-Davis,2,UC Davis Medical Center,33307,0,0,0
2013,110662,University of California-Los Angeles,1,UCLA,40795,1,86,407